日期,尖峰負載(MW),備轉容量(MW),備轉容量率(%)
20190201,24709,2148,8.69
20190202,23382,2240,9.58
20190203,22915,2038,8.89
20190204,20214,2563,12.68
20190205,19992,2333,11.67
20190206,19936,2322,11.65
20190207,20938,2107,10.06
20190208,21581,3115,14.43
20190209,22436,3136,13.98
20190210,23236,3023,13.01
20190211,26667,2275,8.53
20190212,27768,1860,6.7
20190213,27699,1915,6.91
20190214,28250,1943,6.88
20190215,28262,1959,6.93
20190216,25432,2426,9.54
20190217,24343,2673,10.98
20190218,28645,1762,6.15
20190219,28876,1891,6.55
20190220,29078,1838,6.32
20190221,28912,1813,6.27
20190222,28420,1870,6.58
20190223,26723,1729,6.47
20190224,24694,1770,7.17
20190225,28084,1753,6.24
20190226,28390,1818,6.4
20190227,28013,1903,6.79
20190228,25472,2430,9.54
20190301,24689,2371,9.6
20190302,24734,1833,7.41
20190303,24102,2224,9.23
20190304,27688,1895,6.84
20190305,28241,1954,6.92
20190306,28032,1922,6.86
20190307,28147,1868,6.64
20190308,27951,1816,6.5
20190309,25870,2192,8.47
20190310,24801,1823,7.35
20190311,27730,1794,6.47
20190312,27936,1879,6.73
20190313,28145,1923,6.83
20190314,28417,1780,6.26
20190315,27757,1928,6.95
20190316,25318,2518,9.95
20190317,24681,2290,9.28
20190318,28338,1755,6.19
20190319,28882,1805,6.25
20190320,29645,1844,6.22
20190321,30343,1967,6.48
20190322,29618,2341,7.9
20190323,25265,2084,8.25
20190324,24812,1859,7.49
20190325,28535,1853,6.49
20190326,28756,1887,6.56
20190327,29140,1933,6.63
20190328,30093,1892,6.29
20190329,29673,2054,6.92
20190330,25810,2155,8.35
20190331,,,
20190401,,,